sum_response_time,number_of_received_responses,number_of_sent_requests
4285412,303212,304214
4288367,303414,304418
4294932,303870,304876
4304939,304570,305576
4308808,304839,305846
4312769,305126,306135
4322255,305790,306800
4326784,306114,307125
4335775,306733,307745
4339976,307029,308043
4349971,307739,308753
4356815,308206,309221
4358365,308319,309336
4364595,308740,309759
4371578,309226,310246
4377401,309643,310664
4385427,310212,311234
4389345,310488,311511
4396016,310966,311991
4402845,311439,312465
4409620,311920,312947
4416470,312407,313435
4426472,313107,314135
4436466,313808,314836
4443246,314282,315311
4453244,314978,316007
4460191,315462,316492
4465856,315863,316894
4466148,315883,316917
4471853,316270,317306
4476891,316624,317661
4482906,317051,318089
4487675,317389,318429
4495980,317973,319014
4502770,318440,319482
4509594,318925,319968
4516500,319411,320455
4521597,319771,320816
4526071,320089,321136
4527983,320221,321270
4537685,320900,321950
4544274,321371,322422
4544711,321401,322455
4549471,321740,322795
4551001,321848,322906
4553729,322042,323103
4560505,322517,323579
4567488,322991,324053
4572175,323318,324382
4576206,323590,324656
4578504,323752,324821
4584694,324184,325254
4589188,324500,325572
4596181,324991,326064
4603075,325472,326546
4613080,326177,327251
4617854,326509,327584
4624062,326953,328029
4630916,327442,328520
4637724,327921,329000
4639145,328023,329104
4645417,328470,329553
4652580,328974,330057
4659360,329453,330538
4669359,330160,331245
4672963,330413,331500
4679896,330895,331983
4683498,331148,332238
4687138,331401,332493
4694066,331891,332984
4698133,332177,333271
4704766,332635,333731
4709610,332975,334072
4712561,333182,334281
4719400,333654,334755
4726344,334140,335242
4732738,334594,335697
4738662,335010,336114
4747181,335594,336699
4750898,335851,336958
4759720,336455,337562
4764727,336814,337923
4774316,337495,338604
4778562,337792,338903
4785354,338267,339379
4789155,338544,339658
4799143,339250,340364
4802951,339516,340632
4807783,339854,340971
4812295,340167,341286
4820483,340732,341852
4826561,341159,342280
4828705,341312,342435
4835165,341749,342874
4842126,342245,343371
4849099,342737,343864
4854959,343156,344284
4858071,343371,344501
4863529,343752,344884
4870443,344229,345362
4879262,344852,345985
4887381,345414,346548
4891205,345674,346810
4894956,345933,347071
4898545,346178,347318
4905417,346667,347808
4912193,347145,348287
4919115,347622,348765
4925856,348092,349236
4933386,348622,349766
4937071,348879,350025
4943150,349303,350451
4947966,349642,350791
4951887,349920,351071
4957542,350307,351460
4960795,350532,351687
4961646,350589,351747
4965932,350889,352049
4972711,351347,352508
4979548,351819,352981
4988484,352433,353595
4994693,352875,354038
5003409,353478,354642
5003994,353520,354687
5010789,353997,355165
5015422,354325,355494
5018411,354533,355704
5023427,354885,356058
5031981,355496,356670
5035742,355763,356939
5045746,356482,357658
5049535,356747,357925
5053422,357024,358204
5055368,357163,358345
5064020,357761,358944
5071017,358258,359442
5077958,358745,359930
5081826,359018,360205
5088786,359507,360695
5095694,359990,361179
5099437,360243,361434
5106330,360719,361911
5115902,361402,362594
5123142,361919,363112
5127053,362197,363392
5133749,362668,363864
5135527,362794,363992
5141601,363214,364414
5148644,363694,364894
5155469,364171,365373
5162223,364657,365860
5167325,365023,366227
5175747,365623,366828
5179685,365905,367112
5183568,366179,367388
5193572,366897,368106
5200400,367380,368590
5210391,368090,369300
5217282,368570,369781
5224221,369051,370263
5228461,369344,370557
5234875,369784,370999
5236994,369922,371139
5244791,370482,371700
5250950,370918,372137
5256280,371289,372510
5263143,371781,373003
5266858,372040,373264
5273795,372523,373748
5278012,372815,374041
5286725,373425,374652
5291489,373755,374984
5296369,374102,375332
5305372,374733,375964
5312329,375230,376462
5319502,375733,376965
5325988,376188,377422
5329763,376456,377692
5336519,376927,378164
5346535,377639,378876
5356536,378360,379597
5361584,378709,379947
5367158,379105,380345
5371108,379386,380628
5378020,379876,381119
5387674,380559,381802
5393410,380957,382201
5398524,381321,382567
