server_0,server_1,server_2
29186770,32908341,25149609
29257176,32978748,25220015
29330434,33052005,25293273
29400219,33121791,25363059
29475006,33196578,25437845
29549977,33271549,25512816
29623557,33345129,25586397
29692590,33414162,25655430
29764136,33485708,25726976
29833412,33554984,25796251
29906018,33627589,25868857
29973220,33694791,25936059
30046378,33767949,26009217
30117949,33839520,26080788
30181290,33902862,26144129
30253429,33975001,26216268
30327985,34049557,26290825
30400023,34121594,26362862
30474948,34196520,26437787
30546738,34268309,26509577
30613736,34335307,26576575
30683631,34405202,26646470
30753998,34475570,26716838
30819378,34540949,26782217
30888889,34610460,26851728
30955158,34676729,26917997
31027105,34748677,26989945
31097952,34819524,27060792
31168078,34889649,27130917
31242259,34963830,27205098
31317106,35038677,27279945
31389794,35111366,27352634
31461573,35183145,27424412
31533736,35255308,27496575
31604349,35325920,27567188
31678243,35399815,27641083
31747278,35468850,27710118
31821613,35543185,27784453
31891891,35613463,27854731
31958044,35679616,27920883
32031536,35753107,27994375
32105099,35826671,28067939
32178370,35899941,28141209
32252202,35973773,28215041
32325931,36047502,28288770
32399260,36120832,28362100
32474559,36196130,28437398
32545363,36266934,28508202
32615163,36336734,28578002
32683365,36404936,28646204
32757849,36479421,28720688
32832685,36554257,28795525
32905496,36627068,28868335
32980289,36701860,28943128
33054764,36776336,29017603
33127808,36849379,29090647
33198391,36919962,29161230
33269809,36991381,29232649
33343272,37064843,29306111
33414228,37135800,29377067
33488526,37210097,29451365
33555317,37276889,29518157
33626424,37347996,29589263
33694518,37416090,29657357
33764396,37485967,29727235
33837555,37559126,29800394
33909125,37630696,29871964
33980083,37701654,29942922
34049425,37770997,30012264
34118028,37839600,30080868
34191447,37913019,30154286
34264650,37986222,30227489
34342829,38064401,30305669
34415688,38137260,30378527
34483967,38205538,30446806
34553596,38275168,30516435
34628297,38349869,30591137
34693721,38415293,30656560
34767665,38489237,30730505
34840053,38561625,30802893
34915001,38636572,30877840
34988948,38710519,30951787
35063719,38785290,31026558
35133504,38855076,31096343
35205860,38927432,31168700
35277757,38999329,31240597
35350885,39072457,31313725
35419135,39140707,31381975
35492932,39214503,31455771
35565528,39287100,31528367
35635860,39357431,31598699
35706250,39427822,31669090
35777158,39498730,31739998
35848916,39570488,31811756
35921789,39643360,31884628
35997033,39718605,31959872
36074166,39795738,32037006
36142552,39864124,32105391
36212669,39934240,32175508
36279883,40001455,32242723
36351703,40073274,32314542
36422460,40144031,32385299
36488806,40210377,32451645
36559510,40281082,32522349
36631237,40352808,32594076
36698559,40420131,32661399
36770945,40492517,32733784
36843417,40564989,32806256
36914961,40636533,32877800
36986737,40708308,32949576
37060757,40782329,33023596
37125919,40847491,33088759
37194209,40915781,33157048
37269422,40990994,33232261
37335111,41056682,33297950
37408752,41130324,33371592
37484978,41206550,33447818
37556935,41278506,33519774
37630149,41351720,33592988
37700839,41422411,33663679
37770967,41492539,33733807
37837283,41558855,33800123
37907970,41629542,33870809
37977468,41699040,33940308
38045703,41767274,34008542
38110952,41832523,34073791
38180683,41902255,34143523
38249290,41970862,34212129
38311493,42033064,34274332
38383132,42104704,34345971
38455962,42177533,34418801
38528792,42250363,34491631
38602563,42324135,34565402
38676492,42398064,34639331
38750320,42471892,34713159
38824347,42545919,34787186
38891557,42613128,34854396
38965988,42687559,34928827
39033189,42754760,34996028
39099056,42820627,35061895
39169468,42891040,35132308
39239254,42960826,35202094
39313098,43034670,35275938
39384109,43105680,35346948
39456205,43177777,35419044
39527333,43248905,35490172
39600203,43321774,35563042
39668972,43390544,35631811
39739091,43460662,35701930
39804677,43526249,35767516
39875798,43597370,35838637
39949655,43671227,35912495
40020145,43741717,35982985
40091572,43813143,36054411
40164217,43885789,36127057
40240108,43961679,36202947
40307796,44029368,36270635
40379809,44101381,36342648
40454544,44176115,36417383
40526909,44248481,36489748
40595006,44316578,36557845
40663738,44385309,36626577
40732212,44453784,36695051
40806886,44528458,36769725
40879600,44601172,36842440
40954106,44675678,36916946
41026551,44748123,36989391
41098935,44820507,37061775
41171764,44893336,37134603
41245131,44966703,37207971
41322793,45044365,37285632
41393217,45114789,37356057
41457223,45178794,37420062
41530049,45251620,37492888
41601617,45323189,37564456
41675508,45397080,37638348
41745788,45467360,37708628
41813963,45535534,37776802
41880180,45601751,37843019
41949366,45670938,37912206
42015871,45737443,37978711
42087201,45808773,38050040
42156976,45878548,38119815
42230980,45952552,38193819
42304415,46025987,38267255
42375614,46097185,38338453
42447045,46168617,38409884
42521632,46243203,38484471
42592168,46313740,38555007
42666841,46388413,38629680
42739592,46461164,38702431
42809252,46530824,38772092
